Witness,CPA-w2t,CPAchecker,FShell-w2t,MetaVal,NITWIT,Symb.-Witch,Ult. Auto.
369,1,2,2,4,0,0,2
370,1,2,2,4,0,0,2
371,1,2,2,4,0,0,2
372,1,2,2,4,0,0,2
373,1,2,2,4,0,0,2
374,1,2,2,4,0,0,2
375,1,2,2,4,0,0,2
376,1,2,2,4,0,0,2
377,1,2,2,4,0,0,2
378,1,2,2,4,0,0,2
379,1,2,2,4,0,0,2
380,1,2,0,3,1,0,2
381,1,2,0,3,1,0,2
382,0,3,4,3,1,4,2
383,0,3,4,4,1,4,2
384,0,0,4,3,1,4,2
385,0,0,4,3,1,4,2
386,0,3,4,3,1,4,2
387,0,3,4,3,1,4,2
388,0,3,4,3,1,4,2
389,1,2,0,2,1,0,2
390,1,2,0,2,1,0,2
391,1,2,0,2,1,0,2
392,1,2,0,3,1,3,2
393,1,2,0,3,1,3,2
394,1,2,0,3,1,3,2
395,1,2,0,2,0,3,2
396,1,2,0,2,0,3,2
397,1,2,0,2,0,3,2
398,1,2,0,2,0,3,2
399,1,2,0,2,0,3,2
400,1,2,0,2,0,3,2
401,1,2,0,2,0,3,2
402,1,2,0,2,0,3,2
403,1,2,0,2,0,3,2
404,1,2,0,2,0,0,2
405,1,2,0,2,0,3,2
406,1,2,0,2,0,3,2
407,1,2,0,2,0,3,2
408,1,2,0,2,0,3,2
409,1,2,0,2,0,3,2
410,1,2,0,3,0,3,2
411,1,2,0,2,0,3,2
412,1,2,0,2,0,3,2
413,1,2,0,2,0,3,2
414,1,2,0,2,0,3,2
415,1,2,0,2,0,3,2
416,1,2,0,2,0,3,2
417,1,2,0,2,0,3,2
418,4,4,0,4,0,3,2
419,1,2,0,2,0,3,2
420,1,2,0,2,0,3,2
421,1,2,0,2,0,3,2
422,1,2,0,2,0,0,2
423,1,2,0,2,0,0,2
424,1,2,0,2,0,3,2
425,1,2,0,2,0,3,2
426,1,2,0,2,0,3,2
427,1,2,0,2,0,3,2
428,1,2,0,2,0,3,2
429,1,2,0,2,0,3,2
430,1,2,0,2,0,3,2
431,1,2,0,2,0,3,2
432,1,2,0,2,0,3,2
433,1,2,0,2,0,3,2
434,1,2,0,2,0,3,2
435,1,2,0,2,0,3,2
436,1,2,0,2,0,3,2
437,1,2,0,2,0,3,2
438,1,2,0,2,0,3,2
439,1,2,0,2,0,3,2
440,1,2,0,2,0,3,2
441,1,2,0,2,0,3,2
442,1,2,0,2,0,3,2
443,1,2,0,2,0,3,2
444,1,2,0,2,0,3,2
445,1,2,0,2,0,3,2
446,1,2,0,2,0,3,2
447,1,2,0,2,0,3,2
448,1,2,0,2,0,3,2
449,1,2,0,2,0,3,2
450,1,2,0,2,0,3,2
451,1,2,0,2,0,3,2
452,1,2,0,2,0,3,2
453,1,2,0,2,0,3,2
454,1,2,0,2,0,3,2
455,1,2,0,2,0,3,2
456,1,2,0,2,0,3,2
457,1,2,0,2,0,3,2
458,1,2,0,2,0,3,2
459,1,2,0,2,0,3,2
460,1,2,0,2,0,3,2
461,1,2,0,2,0,3,2
462,4,4,0,4,0,3,2
463,1,2,0,2,0,3,2
464,1,2,0,2,0,3,2
465,1,0,2,2,1,0,0
466,1,0,0,2,1,0,0
467,0,0,2,2,0,0,0
468,0,0,0,2,0,0,0
469,0,0,0,2,0,0,0
470,0,0,0,2,0,0,0
471,0,0,0,2,0,0,0
472,0,2,0,2,0,0,0
473,0,0,0,2,0,0,0
474,0,0,0,2,0,0,0
475,0,0,0,2,1,0,0
476,1,0,2,2,0,0,0
477,1,0,2,2,0,0,0
478,0,0,0,2,0,0,0
479,0,0,0,2,0,0,0
480,0,0,0,2,0,0,0
481,0,0,0,2,0,0,0
482,0,0,0,2,0,0,0
483,0,0,0,2,0,0,0
484,0,0,0,2,0,0,0
485,0,0,0,2,0,0,0
486,0,0,0,2,0,0,0
487,0,0,0,2,0,0,0
488,0,0,0,2,0,0,0
489,0,0,0,2,0,0,0
490,0,0,0,2,0,0,0
491,0,0,0,2,0,0,0
492,0,0,0,2,0,0,0
493,0,0,0,2,0,0,0
494,0,0,0,2,0,0,0
495,0,0,0,2,0,0,0
496,1,0,2,2,0,0,0
497,0,0,0,2,0,0,0
498,1,0,2,2,0,0,0
499,0,0,0,2,0,0,0
500,0,0,0,2,0,0,0
501,0,0,0,2,0,0,0
502,0,0,0,2,0,0,0
503,0,0,0,2,0,0,0
504,1,0,2,2,0,0,0
505,0,0,0,2,0,0,0
506,0,0,0,2,0,0,0
507,0,0,0,2,0,0,0
508,0,0,0,2,0,0,0
509,0,0,0,2,0,0,0
510,0,0,0,2,0,0,0
511,0,0,0,2,0,0,0
512,0,0,0,2,0,0,0
513,0,0,0,2,0,0,0
514,0,0,0,2,0,0,0
515,0,0,0,2,0,0,0
516,0,0,0,2,0,0,0
517,0,0,0,2,0,0,0
518,0,0,0,2,0,0,0
519,0,0,0,2,0,0,0
520,1,0,2,2,0,0,0
521,0,0,0,2,0,0,0
522,0,0,0,2,0,0,0
523,0,0,0,2,0,0,0
524,0,0,0,2,0,0,0
525,0,0,0,2,0,0,0
526,0,3,0,3,1,3,2
527,2,3,0,3,1,3,2
528,2,3,0,3,1,3,2
529,3,3,0,3,1,3,2
530,3,3,3,3,1,3,2
531,0,3,0,3,1,3,2
532,2,3,0,3,1,3,2
